適用型號,問題大類,客戶問題/意圖,視覺或聲音特徵,前置條件,標準操作步驟,師傅小撇步,資料來源,,
"AS850, DP850, FA9000, RL599, ML550, AS701",基本設定,我要幫家人新增一組開門密碼,無特別燈號,門在開啟狀態，打開內側電池蓋找到【註冊鍵】,1. 按一下【註冊鍵】。2. 螢幕亮起後輸入管理者密碼，按【#】。3. 按【1】進入使用者密碼設定。4. 輸入新密碼（6–12 碼）按【#】。5. 再輸入一次確認按【#】完成。,管理者預設密碼多半是 123456，建議請客人改完後記在手機記事本。,AS701 說明書（示意）,,
"AS850, DP850, FA9000, RL599, ML550, AS701",基本設定,我要改管理者密碼,無特別燈號,客戶知道現在的管理者密碼，門保持開啟,1. 按【註冊鍵】。2. 輸入舊管理者密碼按【#】。3. 按【0】進入管理者密碼變更。4. 輸入新密碼（6–12 碼）按【#】。5. 再輸入一次新密碼按【#】。,請務必記得管理者密碼，否則日後無法進入設定模式，會需要請技師到現場初始化。,AS701 說明書 更改管理者密碼項目,,
"AS850, DP850, FA9000, RL599, ML550, AS701",故障排除,輸入密碼後「6 一直閃」但門沒開,數字 6 閃爍、伴隨嗶嗶聲,鍵盤無明顯髒汙或水漬,閃6代表是錯誤的密碼，請輸入正確的密碼或使用其他方式先開門。,有時候設定時沒有設定成功或誤刪密碼導致該密碼無法開門,師傅現場經驗（示意）,,閃爍6就是錯誤的意思
"AS850, DP850, FA9000, RL599, ML550, AS701",基本設定,想新增一張卡可以開門，請問怎麼設定,嘗試感應卡片，如有聲音代表此卡片可以設定,門開啟，有至少一張管理者卡片或管理者密碼,1. 按一下【註冊鍵】。2. 螢幕亮起後輸入管理者密碼後按【#】或感應管理者卡片。3. 按【2】進入使用者卡片設定。4. 直接拿需要的卡片在卡片感應區一張一張的感應。5. 再輸入一次確認按【#】完成。,建議同戶至少做 2–3 張備用卡，提醒客人分開放。,DP850 說明書 卡片註冊方式,,
"AS850, DP850, FA9000, RL599, ML550, AS701",故障排除,卡片刷了都沒反應,感應時無燈號也沒聲音,使用已設定卡片，螢幕有亮但是沒反應,1. 換另一張已知正常卡試試。2. 若全部卡都沒反應，先更換全新Panasonic鹼性電池。3. 仍不行就先用密碼或鑰匙開門後重新註冊卡片看看,多半是電池快沒電或是裝錯電池；提醒客人不要用碳鋅，統一用Panasonic鹼性電池。,DP850 說明書 + 維修經驗,,此為正確指定使用電池
"AS850, DP850, FA9000, RL599, ML550, AS701",APP設定,我想要使用APP，請問怎麼連？,App 顯示綁定進度條，螢幕面板數子畫圈閃爍,已下載官方 App、手機連 2.4G WiFi，手機藍牙開啟,1. 開 App 點「新增裝置」或＋的符號 2. 一直點選右下角下一步箭頭直到app顯示搜尋電子鎖中並點選搜尋到的電子鎖 3. 選擇家中 2.4G的WiFi 並書數入正確的密碼後按下一步。4. 等 30–60 秒看到「綁定成功」。,九成失敗是連到 5G WiFi 或密碼打錯。如重新嘗試配對時數字3閃爍的話代表模組已被綁定，需等幾天後自動解綁在重新嘗試,FA9000 WiFi 說明書,無照片,
"AS850, DP850, FA9000, RL599, ML550, AS701",APP設定,App連不上，也沒有紀錄了，設定的東西在各項都看不到,App沒有使用者密碼卡片指紋等等，或是無法用手機開門，或是沒有開關門通知及紀錄,客戶家中網路基本正常，要有2.4G與5G頻道分開的路由器,"麻煩請將設備刪除然後依照以下方式重新配對
 確保手機連家裡的WiFi時需為2.4G頻段，不能連5G頻段。如家中WiFi只有一個，而且名字只有一個，名字後面也沒有分2.4G跟5G，那就代表是合併在一起了，需請網路公司將其分開，才能配對。
 確保手機藍芽開啟
 當app要求通知等等相關權限，請全部點選’’允許‘’及‘’使用app期間允許‘’
 按註冊鍵一下
 輸入管理者密碼按#
 按7，接著鎖會開始跑配對動畫
 請至手機app按+
 替鎖命名 (非必填)
  10.拍照(非必填)
  11.搜尋鎖裝置並點選
  12.選擇2.4G的wifi並輸入正確密碼
  13.若app內顯示失敗請直接重開app即可，裝置會出現在首頁",常常客人連錯網路或是2.4G跟5G沒有分開，因為IoT產品不要連5G頻道，只能單獨連2.4G,FA9000 說明書 + 維修經驗,無照片,
"AS850, DP850, FA9000, RL599, ML550, AS701",基本設定,想新增一組一般使用者密碼,輸入密碼時按鍵亮紅燈，成功有提示音,知道管理者密碼，門是開著的,1. 按一下【註冊鍵】。2. 螢幕亮起後輸入管理者密碼，按【#】。3. 按【1】進入使用者密碼設定。4. 輸入新密碼（6–12 碼）按【#】。5. 再輸入一次確認按【#】完成。,一般使用者密碼與管理者密碼不能相同，使用者密碼只能開門，不能進行驗證進入設定模式,ML550 說明書,無照片,
"AS850, DP850, FA9000, RL599, ML550, AS701",故障排除,每次按鍵都嗶嗶叫、紅燈閃，說是快沒電,操作時紅燈閃爍＋短鳴,門目前還能正常開關,1. 告知客戶 6~12個月內務必換電池。2. 一次更換8顆Panasonic鹼性電池。3. 換完開著門測試一次密碼與指紋。4. 若還一直亮低電量，稍後由技師幫您看看是什麼狀況。,強調「不要混用新舊電池」，這是很多怪故障的來源。只能使用Panasonic鹼性電池，其他品牌一率不行,ML550 說明書 + 維修經驗,,此為正確指定使用電池
"AS850, DP850, FA9000, RL599, ML550, AS701",故障排除,鎖一直大聲叫，鄰居都來敲門,紅燈快速閃爍，持續警報聲,確認現場沒有真的入侵或門沒關好,1. 把門扇打開。2.取下電池。3. 檢查門是不是沒關緊，以及鎖栓有沒有卡在外面。3. 若每次關門都會叫，請先在開著門的情況底下按室內機的Close看看會不會正常上鎖，如果可以但關上門會叫代表鎖栓可以碰到門框 4. 請錄影完整的狀況傳至官方Line,很多是門框變形、門扇移位，或是鎖移位導致鎖栓撞到門框，不是真的壞掉；請客人先拍照傳給你看。,師傅現場經驗（示意）,,紅色圈內為鎖栓
"AS850, DP850, FA9000, RL599, ML550, AS701",基本設定,忘記管理者密碼了，請問怎麼更改？,數字 6 閃爍、伴隨嗶嗶聲,輸入密碼後，因為錯誤密碼，所以才會【6】會閃爍,1. 按【註冊鍵】。2. 感應管理者卡片。3. 按【0】進入管理者密碼變更。4. 輸入新密碼（6–12 碼）按【#】。5. 再輸入一次新密碼按【#】。,請務必記得管理者密碼，否則日後無法進入設定模式，會需要請技師到現場初始化。,AS850 說明書 + 維修經驗,,閃爍6就是錯誤的意思
"AS850, DP850, FA9000, RL599, ML550, AS701",基本設定,忘記管理者密碼了，也沒有管理者卡片怎麼辦？,數字 6 閃爍、伴隨嗶嗶聲,鍵盤無明顯髒汙或水漬或裝錯電池,需請原廠師傅前往將電子鎖初始化，並會收取$1000出勤費,"請務必記得管理者密碼，否則日後無法進入設定模式，會需要請技師到現場初始化。
 管理者卡片放在家裡不要作為開門使用，才能夠再忘記管理者密碼時使用卡片去更改管理者密碼",AS850 說明書 + 維修經驗,,閃爍6就是錯誤的意思
"AS850, DP850, FA9000, RL599, ML550, AS701",故障排除,鎖不會自動上鎖，還會叫,會有上鎖齒輪聲音，但銀色的鎖栓不會完全伸出來，上鎖失敗後會有嗶嗶聲,門扇正確關上後自動上鎖感應器有碰到門框，也有觸發自動上鎖,麻煩客人請提供完整狀況的影片，並且要照到鎖栓的部分。,有時就是門沒關好或是卡東西在門扇四周,師傅現場經驗（示意）,,鎖栓上鎖不完全，會撞到門框或是伸不進去門框
"AS850, DP850, FA9000, RL599, ML550, AS701",基本設定,請問註冊鍵在哪？,無特別燈號,,門在開啟狀態，打開內機電池蓋，看到【+】的旁邊按鈕就是了,註冊鍵因為是黑色的，客人常常找不到,AS701 說明書（示意）,,＋  的旁邊就是註冊鍵
"AS850, DP850, FA9000, RL599, ML550, AS701",故障排除,目前感應完指紋成功但打不開門，怎麼辦？可以麻煩派人過來嗎？謝謝,感應有成功解鎖，解鎖燈號也有亮。,門鎖解鎖後推把手或是拉把收都無法開門。,1. 先確認人是在家裡還是在門外。2. 確認平常人在外面的話是解鎖後推門打開門還是拉門打開門 3. 如果人在外面是推門開門的，請先解鎖後馬上往自己的方向用力拉著把手再用力推開門，反之，如果人在家裡是拉門開門的，請先用力推壓著門另一隻手再拉把手即可開門。,通常是因為門縫四周有卡東西例如吸音條等等異物導致門扇變緊，或是門扇沒有確實關好再正確位置,師傅現場經驗（示意）,沒有圖,
"AS850, DP850, FA9000, RL599, ML550, AS701",基本設定,想設定指紋，請問怎麼操作？按3後都2都會閃爍,數字 2 閃爍、伴隨嗶嗶聲,鍵盤無明顯髒汙或水漬或裝錯電池,1. 按一下【註冊鍵】。2. 螢幕亮起後輸入管理者密碼後按【#】或感應管理者卡片。3. 按【3】進入使用者卡片設定。4. 請在指紋感應區直接感應您需要使用指紋3次。5. 再輸入一次確認按【#】完成。,"客人常常會長按註冊鍵進入到刪除模式，然後把指紋都刪除了或是根本沒有設定過指紋才會一直閃爍2
 但註冊模式是按一下註冊鍵",,沒有圖,
